Tabel 1
SAMPLE,IPUMS sample identifier,SUBSAMP,,Subsample number,HHTYPE,,Household Type,REGION,,Census region and division,STATEFIP,,State (FIPS code),METRO,,Metropolitan status,CITY,,City,CITYERR,,Coverage error in CITY variable,HOMELAND,,"American Indian, Alaska Native, or Native Hawaiian homeland area",CNTRY,,Country,GQ,,Group quarters status,GQTYPE,,Group quarters type [general version],GQTYPED,,Group quarters type [detailed version],FARM,,Farm status,OWNERSHP,,Ownership of dwelling (tenure) [general version],OWNERSHPD,,Ownership of dwelling (tenure) [detailed version],MORTGAGE,,Mortgage status,MORTGAG2,,Second mortgage status,ACREHOUS,,House acreage,TAXINCL,,Mortgage payment includes property taxes,INSINCL,,Mortgage payment includes property insurance,PROPTX99,,"Annual property taxes, 1990",RENTMEAL,,Meals included in rent,UNITSSTR,,Units in structure,BEDROOMS,,Number of bedrooms,NFAMS,,Number of families in household,NSUBFAM,,Number of subfamilies in household,NCOUPLES,,Number of couples in household,NMOTHERS,,Number of mothers in household,NFATHERS,,Number of fathers in household,MULTGEN,,Multigenerational household [general version],MULTGEND,,Multigenerational household [detailed version],CBNSUBFAM,,Number of subfamilies in household (original Census Bureau classification),FAMUNIT,,Family unit membership,SFTYPE,,Subfamily type,SFRELATE,,Relationship within subfamily,CBSUBFAM,,Subfamily number (original Census Bureau classification),CBSFTYPE,,Subfamily type (original Census Bureau classification),CBSFRELATE,,Subfamily relationship (original Census Bureau classification),MOMRULE,,Rule for linking mother (new),POPRULE,,Rule for linking father (new),SPRULE,,Rule for linking spouse or partner (new),MOM2RULE,,Rule for linking second mother (new),POP2RULE,,Rule for linking second father (new),NCHILD,,Number of own children in the household,NCHLT5,,Number of own children under age 5 in household,NSIBS,,Number of own siblings in household,ELDCH,,Age of eldest own child in household,YNGCH,,Age of youngest own child in household,RELATE,,Relationship to household head [general version],RELATED,,Relationship to household head [detailed version],SEX,Sex,AGE,Age,MARST,Marital status,MARRNO,Times married,MARRINYR,Married within the past year,DIVINYR,Divorced in the past year,WIDINYR,Widowed in the past year,FERTYR,Children born within the last year,RACE,Race [general version],RACED,Race [detailed version],HISPAN,Hispanic origin [general version],HISPAND,Hispanic origin [detailed version],BPL,Birthplace [general version],BPLD,Birthplace [detailed version],ANCESTR1,"Ancestry, first response [general version]",ANCESTR2,"Ancestry, second response [general version]",ANCESTR2D,"Ancestry, second response [detailed version]",CITIZEN,Citizenship status,YRSUSA2,"Years in the United States, intervalled",LANGUAGE,Language spoken [general version],LANGUAGED,Language spoken [detailed version],SPEAKENG,Speaks English,TRIBE,Tribe [general version],TRIBED,Tribe [detailed version],EDUC,Educational attainment [general version],EDUCD,Educational attainment [detailed version],GRADEATT,Grade level attending [general version],GRADEATTD,Grade level attending [detailed version],SCHLTYPE,Public or private school,DEGFIELD,Field of degree [general version],DEGFIELDD,Field of degree [detailed version],EMPSTAT,Employment status [general version],EMPSTATD,Employment status [detailed version],LABFORCE,Labor force status,CLASSWKR,Class of worker [general version],CLASSWKRD,Class of worker [detailed version],OCC1950,"Occupation, 1950 basis",OCC1990,"Occupation, 1990 basis",IND1950,"Industry, 1950 basis",WRKLSTWK,Worked last week,ABSENT,Absent from work last week,LOOKING,Looking for work,AVAILBLE,Available for work,WRKRECAL,Informed of work recall,WORKEDYR,Worked last year,MIGRATE1,"Migration status, 1 year [general version]",MIGRATE1D,"Migration status, 1 year [detailed version]",MIGPLAC1,State or country of residence 1 year ago,MIGMET131,Metropolitan area of residence 1 year ago (2013 delineations),MIGTYPE1,Metropolitan status 1 year ago,PWSTATE2,Place of work: state,PWMET13,Place of work: metropolitan area (2013 delineations),PWTYPE,Place of work: metropolitan status,TRANWORK,Means of transportation to work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200006,2000 Puerto Rico 1% sample (old version),74,,74,,,,,,,,,,,,,550,,"Bangor, ME",,,,,,,,,,,,,,,,924,,Children's hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,74,74,,74,,,,1240,,Roomers/boarders/lodgers and foster children,,,74,74,,,,,,,,,,,,,,,640,Vietnamese,,,,,,Northern Europe:,12041,Navassa Island,76,Liechtensteiner,76,Liechtensteiner,500,Irish,,,,,79,Yuman,2110,"Kashubian, Slovincian",,,2067,Micmac,203201,Alabama Coushatta,,,,,,,,,,,,,2901,Family and Consumer Sciences,,,,,,,,,,,93,Teachers (n.e.c.),106,Physicians' assistants,499,Not specified manufacturing industries,,,,,,,,,,,,,,,,,262,Haiti,20700,"East Stroudsburg, PA",,,99,Not reported,20700,"East Stroudsburg, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200005,2000 Puerto Rico 5%,75,,75,,,,,,,,,,,,,551,,"Barberton, OH",,,,,,,,,,,,,,,,,,Religious Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,75,75,,75,,,,1241,,Roomers/boarders/lodgers,,,75,75,,,,,,,,,,,,,,,641,Bhutanese,,,,,400,Denmark,12050,Other US Pacific Islands,77,Luxemburger,77,Luxemburger,501,Celtic,,,,,80,Other Hokan languages,2200,Slovak,,,2068,Mission Indians,203300,Cowlitz,,,,,,,,,,,,,3200,Law,,,,,,,,,,,94,Medical and dental-technicians,,"Teachers, Postsecondary:",,"Transportation, Communication, and Other Utilities:",,,,,,,,,,,,,,,,,263,Jamaica,20740,"Eau Claire, WI",,,,,20740,"Eau Claire, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200004,2000 ACS,76,,76,,,,,,,,,,,,,552,,"Barre, VT",,,,,,,,,,,,,,,,931,,"Church, Abbey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,76,76,,76,,,,1242,,Foster children,,,76,76,,,,,,,,,,,,,,,642,Mongolian,,,,,401,Finland,12051,Baker Island,78,Maltese,78,Maltese,502,Irish Scotch,,,,,81,Siouan languages,2300,"Serbo-Croatian, Yugoslavian, Slavonian",,,2069,Miwok,203400,Cree,,,,,,,,,,,,,3201,Court Reporting,,,,,,,,,,,95,Testing-technicians,113,"Earth, environmental, and marine science instructors",,Transportation:,,,,,,,,,,,,,,,,,264,British West Indies,20940,"El Centro, CA",,,,,20940,"El Centro, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200003,2000 Unweighted 1%,77,,77,,,,,,,,,,,,,553,,"Bartlesville, OK",,,,,,,,,,,,,,,,932,,Convent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,77,77,,77,,,,1250,,Employees,,,77,77,,,,,,,,,,,,,,,643,Nepalese,,,,,402,Iceland,12052,Howland Island,79,Manx,79,Manx,,Italian:,,,,,82,Muskogean,2310,Croatian,,,2070,Modoc,203500,Creek,,,,,,,,,,,,,3202,Pre-Law and Legal Studies,,,,,,,,,,,96,Technicians (nec),114,Biological science instructors,506,Railroads and railway,,,,,,,,,,,,,,,,,267,Other West Indies,21060,"Elizabethtown-Fort Knox, KY",,,,,21060,"Elizabethtown-Fort Knox, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200002,2000 1% sample (old version),78,,78,,,,,,,,,,,,,554,,"Batavia, NY",,,,,,,,,,,,,,,,933,,Monastery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,78,78,,78,,,,1251,,Domestic employees,,,78,78,,,,,,,,,,,,,,,650,"Other Asian or Pacific Islander (1920,1980)",,,,,403,"Lapland, n.s.",12053,Jarvis Island,80,Monegasque,80,Monegasque,510,Italian (1980),,,,,83,Keres,2320,Serbian,,,2071,Mohegan,203501,Creek - Hitchiti,,,,,,,,,,,,,3300,"English Language, Literature, and Composition",,,,,,,,,,,97,Therapists and healers (nec),115,Chemistry instructors,516,Street railways and bus lines,,,,,,,,,,,,,,,,,290,Other Caribbean and North America,21140,"Elkhart-Goshen, IN",,,,,21140,"Elkhart-Goshen, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200001,2000 5%,79,,79,,,,,,,,,,,,,570,,"Bath, ME",,,,,,,,,,,,,,,,934,,Mission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,79,79,,79,,,,1252,,Non-domestic employees,,,79,79,,,,,,,,,,,,,,,651,Asian only (CPS),,,,,404,Norway,12054,Kingman Reef,81,Northern Irelander,81,Northern Irelander,511,"Italian (1990-2000, ACS, PRCS)",,,,,84,Iroquoian,2321,Bosnian,,,2072,Molala,203600,Croatan,,,,,,,,,,,,,3301,English Language and Literature,,,,,,,,,,,98,Veterinarians,116,Physics instructors,526,Trucking service,,,,,,,,,,,,,,,,,305,Argentina,21340,"El Paso, TX",,,,,21340,"El Paso, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199007,1990 Puerto Rico 1%,80,,80,,,,,,,,,,,,,590,,"Baton Rouge, LA",,,,,,,,,,,,,,,,935,,Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,80,80,,80,,,,1253,,Relative of employee,,,80,80,,,,,,,,,,,,,,,652,Pacific Islander only (CPS),,,,,405,Sweden,12055,Palmyra Atoll,82,Norwegian,82,Norwegian,512,Trieste (1990-2000),,,,,85,Caddoan,2330,"Dalmatian, Montenegrin",,,2073,Mono,203700,Crow,,,,,,,,,,,,,3302,Composition and Speech,,,,,,,,,,,99,"Professional, technical and kindred workers (nec)",118,Psychology instructors,527,Warehousing and storage,,,,,,,,,,,,,,,,,310,Bolivia,21500,"Erie, PA",,,,,21500,"Erie, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199006,1990 Puerto Rico 5%,81,,81,,,,,,,,,,,,,610,,"Battle Creek, MI",,,,,,,,,,,,,,,,936,,Religious commune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,81,81,,81,,,,1260,,Other non-relatives (1990 includes employees),,,81,81,,,,,,,,,,,,,,,653,"Asian or Pacific Islander, n.s. (1990 Internal Census files)",,,,,,United Kingdom and Ireland:,12056,Canton and Enderbury Island,84,Portuguese,84,Portuguese,513,San Marino (1990-2000),,,,,86,Shoshonean/Hopi,2331,Dalmatian,,,2074,Narragansett,203800,Delaware,,,,,,,,,,,,,3400,Liberal Arts and Humanities,,,,,,,,,,,,Farmers:,119,Economics instructors,536,Taxicab service,,,,,,,,,,,,,,,,,315,Brazil,21660,"Eugene, OR",,,,,21660,"Eugene, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199005,1990 Labor Market Area,82,,82,,,,,,,,,,,,,630,,"Bay City, MI",,,,,,,,,,,,,,,,937,,Other religious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,82,82,,82,,,,,,Group quarters members:,,,82,82,,,,,,,,,,,,,,,660,Cambodian,,,,,410,England,12090,"US outlying areas, ns",85,Azorean,85,Azorean,530,Abruzzi,,,,,87,"Pima, Papago",2332,Montenegrin,,,2075,Navajo,203801,Deleware - Munsee,,,,,,,,,,,,,3401,Liberal Arts,,,,,,,,,,,100,Farmers (owners and tenants),123,History instructors,546,Water transportation,,,,,,,,,,,,,,,,,320,Chile,21780,"Evansville, IN-KY",,,,,21780,"Evansville, IN-KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199004,1990 Elderly,83,,83,,,,,,,,,,,,,640,,"Bayamon, PR",,,,,,,,,,,,,,,,940,,Work sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,83,83,,83,,,,1270,,Non-inmate 1990,,,83,83,,,,,,,,,,,,,,,661,Hmong,,,,,411,Scotland,12091,"US possessions, ns",86,Madeiran,86,Madeiran,540,Apulian,,,,,88,"Yaqui and other Sonoran, nec",2400,Slovene,,,2076,Nez Perce,203900,Diegueno,,,,,,,,,,,,,3402,Humanities,,,,,,,,,,,123,Farm managers,125,Sociology instructors,556,Air transportation,,,,,,,,,,,,,,,,,325,Colombia,22140,"Farmington, NM",,,,,22140,"Farmington, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199003,1990 Unweighted 1%,84,,84,,,,,,,,,,,,,650,,"Bayonne, NJ",,,,,,,,,,,,,,,,941,,"Construction, except rr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,84,84,,84,,,,1281,,Head of group quarters,,,84,84,,,,,,,,,,,,,,,662,Laotian,,,,,412,Wales,12092,"US territory, ns",87,Scotch Irish,87,Scotch Irish,550,Basilicata,,,,,89,"Aztecan, Nahuatl, Uto-Aztecan",2500,Lithuanian,,,2077,Nomalaki,203901,Diegueno - Sycuan,,,,,,,,,,,,,3501,Library Science,,,,,,,,,,,,"Managers, Officials, and Proprietors:",127,Engineering instructors,567,Petroleum and gasoline pipe lines,,,,,,,,,,,,,,,,,330,Ecuador,22180,"Fayetteville, NC",,,,,22180,"Fayetteville, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199002,1990 1%,85,,85,,,,,,,,,,,,,651,,"Beacon, NY",,,,,,,,,,,,,,,,942,,Lumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,85,85,,85,,,,1282,,Employees of group quarters,,,85,85,,,,,,,,,,,,,,,663,Thai,,,,,413,"United Kingdom, ns",,OTHER NORTH AMERICA,88,Scottish,88,Scottish,560,Calabrian,,,,,90,Tanoan languages,2510,"Lettish, Latvian",,,2078,Northwest tribes,,Eastern tribes,,,,,,,,,,,,,3600,Biology,,,,,,,,,,,200,"Buyers and dept heads, store",128,Math instructors,568,Services incidental to transportation,,,,,,,,,,,,,,,,,345,Paraguay,22220,"Fayetteville-Springdale-Rogers, AR-MO",,,,,22220,"Fayetteville-Springdale-Rogers, AR-MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199001,1990 5%,86,,86,,,,,,,,,,,,,652,,"Beatrice, NE",,,,,,,,,,,,,,,,943,,Mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,86,86,,86,,,,1283,,"Relative of head, staff, or employee group quarters",,,86,86,,,,,,,,,,,,,,,664,Bangladeshi,,,,,414,Ireland,15000,Canada,89,Swedish,89,Swedish,570,Amalfi,,,,,91,Other Indian languages,2600,Other Balto-Slavic,,,2079,Omaha,204001,Eastern tribe - Georgetown,,,,,,,,,,,,,3601,Biochemical Sciences,,,,,,,,,,,201,"Buyers and shippers, farm products",139,Education instructors,,Telecommunications:,,,,,,,,,,,,,,,,,350,Peru,22380,"Flagstaff, AZ",,,,,22380,"Flagstaff, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198007,1980 Puerto Rico 1%,87,,87,,,,,,,,,,,,,660,,"Belleville, IL",,,,,,,,,,,,,,,,944,,Railroad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,87,87,,87,,,,1284,,Other non-inmate 1940-1959,,,87,87,,,,,,,,,,,,,,,665,Burmese,,,,,419,"Northern Europe, ns",15010,English Canada,90,Aland Islander,90,Aland Islander,580,Emilia Romagna,,,,,92,Mayan languages,2610,Bulgarian,,,2080,Oregon Athabaskan,204002,Eastern tribe - Nansemond,,,,,,,,,,,,,3602,Botany,,,,,,,,,,,203,"Conductors, railroad",145,Law instructors,578,Telephone,,,,,,,,,,,,,,,,,360,Uruguay,22420,"Flint, MI",,,,,22420,"Flint, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198006,1980 Puerto Rico 5%,88,,88,,,,,,,,,,,,,670,,"Beaumont, TX",,,,,,,,,,,,,,,,945,,"Farms, ranches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,88,88,,88,,,,1291,,Military,,,88,88,,,,,,,,,,,,,,,666,Indonesian,,,,,,Western Europe:,15011,British Columbia,91,Swiss,91,Swiss,590,Rome,,,,,93,"American Indian, n.s.",2620,"Lusatian, Sorbian, Wendish",,,2081,Osage,204003,Eastern tribe - Tunica,,,,,,,,,,,,,3603,Molecular Biology,,,,,,,,,,,204,Credit men,147,Theology instructors,579,Telegraph,,,,,,,,,,,,,,,,,365,Venezuela,22500,"Florence, SC",,,,,22500,"Florence, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198005,1980 Detailed metro/non-metro,89,,89,,,,,,,,,,,,,671,,"Beaver Falls, PA",,,,,,,,,,,,,,,,946,,"Ships, boats",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,89,89,,89,,,,1292,,College dormitories,,,89,89,,,,,,,,,,,,,,,667,Malaysian,,,,,420,Belgium,15013,Alberta,92,Suisse,92,Suisse,600,Ligurian,,,,,94,Native,2621,Wendish,,,2082,Otoe-Missouria,204100,Grand Ronde,,,,,,,,,,,,,3604,Ecology,,,,,,,,,,,205,"Floormen and floor managers, store",149,Home economics instructors,,Utilities and Sanitary Services:,,,,,,,,,,,,,,,,,390,"South America, nec",22520,"Florence-Muscle Shoals, AL",,,,,22520,"Florence-Muscle Shoals, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198004,1980 Labor Market Area,90,,90,,,,,,,,,,,,,672,,"Bedford, IN",,,,,,,,,,,,,,,,947,,Other industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,90,90,,90,,,,1293,,Residents of rooming houses,,,90,90 (90+ in 1980 and 1990),,,,,,,,,,,,,,,668,Okinawan,,,,,421,France,15015,Saskatchewan,95,Romansch,95,Romansch,610,Lombardian,,,,,95,No language,2630,Macedonian,,,2083,Ottawa,204200,Gros Ventres,,,,,,,,,,,,,3605,Genetics,,,,,,,,,,,210,"Inspectors, public administration",150,"Humanities profs/instructors, college, nec",586,Electric light and power,,,,,,,,,,,,,,,,,400,Denmark,22660,"Fort Collins, CO",,,,,22660,"Fort Collins, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198003,1980 Urban/Rural,91,,91,,,,,,,,,,,,,673,,"Bellaire, OH",,,,,,,,,,,,,,,,948,,Other worksites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,91,91,,91,,,,1294,,Other non-inmate 1980 (includes employees and non-inmates in,,,91,91,,,,,,,,,,,,,,,669,Pakistani,,,,,422,Liechtenstein,15017,Northwest,96,Suisse Romane,96,Suisse Romane,620,Marches,,,,,96,Other or not reported,2700,Slavic unknown,,,2084,Paiute,204300,Hawaiian,,,,,,,,,,,,,3606,Microbiology,,,,,,,,,,,230,"Managers and superintendants, building",154,Subject instructors (HS/college),587,Gas and steam supply systems,,,,,,,,,,,,,,,,,401,Finland,23060,"Fort Wayne, IN",,,,,23060,"Fort Wayne, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198002,1980 1%,92,,92,,,,,,,,,,,,,680,,"Bellevue, WA",,,,,,,,,,,,,,,,950,,"Nurses home, dorm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,92,92,,92,,,,1295,,Other non-inmates 1960-1970 (includes employees),,,92,92,,,,,,,,,,,,,,,670,Sri Lankan,,,,,423,Luxembourg,15019,Ruperts Land,97,Welsh,97,Welsh,630,Molise,,,,,,,2800,Armenian,,,2085,Passamaquoddy,204400,Hoopa,,,,,,,,,,,,,3607,Pharmacology,,,,,,,,,,,240,"Officers, pilots, pursers and engineers, ship",,"Teachers, Except Postsecondary:",588,Electric-gas utilities,,,,,,,,,,,,,,,,,402,Iceland,23420,"Fresno, CA",,,,,23420,"Fresno, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198001,1980 5%,93,,93,,,,,,,,,,,,,690,,"Bellingham, WA",,,,,,,,,,,,,,,,955,,Passenger ships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,93,93,,93,,,,1296,,Non-inmates in institutions,,,93,93,,,,,,,,,,,,,,,671,"Other Asian, n.e.c.",,,,,424,Monaco,15020,Manitoba,98,"Scandinavian, Nordic",98,"Scandinavian, Nordic",640,Neapolitan,,,,,,,2900,"Persian, Iranian, Farsi",,,2086,Pawnee,204401,Hoopa - Trinity,,,,,,,,,,,,,3608,Physiology,,,,,,,,,,,250,"Officials and administratators (nec), public administration",155,Kindergarten and earlier school teachers,596,Water supply,,,,,,,,,,,,,,,,,404,Norway,23460,"Gadsden, AL",,,,,23460,"Gadsden, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197009,1970 Puerto Rico Neighborhood,94,,94,,,,,,,,,,,,,695,,"Belvedere, CA",,,,,,,,,,,,,,,,960,,Other group quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,94,94,,94,,,,1301,,Institutional inmates,,,94,94,,,,,,,,,,,,,,,672,"Asian, not specified",,,,,425,Netherlands,15021,Red River,,EASTERN EUROPE AND SOVIET UNION,,EASTERN EUROPE AND SOVIET UNION,650,Piedmontese,,,,,,,2910,Persian,,,2087,Penobscot,204500,Houma,,,,,,,,,,,,,3609,Zoology,,,,,,,,,,,260,"Officials, lodge, society, union, etc.",156,Primary school teachers,597,Sanitary services,,,,,,,,,,,,,,,,,405,Sweden,23540,"Gainesville, FL",,,,,23540,"Gainesville, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197008,1970 Puerto Rico Municipio,95,,95,,,,,,,,,,,,,700,,"Belleville, NJ",,,,,,,,,,,,,,,,997,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,95,95,,95,,,,9996,,Unclassifiable,,,95,95,,,,,,,,,,,,,,,,Two or more Asian races,,,,,426,Switzerland,15030,Ontario/Upper Canada,100,Albanian,100,Albanian,660,Puglia,,,,,,,2920,Dari,,,2088,Peoria,204600,Iowa,,,,,,,,,,,,,3611,Neuroscience,,,,,,,,,,,270,Postmasters,157,Secondary school teachers,598,Other and not specified utilities,,,,,,,,,,,,,,,,,410,England,23580,"Gainesville, GA",,,,,23580,"Gainesville, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
