RECTYPE,,Record type
37,,37
38,,38
39,,39
40,,40
41,,41
42,,42
43,,43
44,,44
45,,45
46,,46
47,,47
48,,48
49,,49
50,,50
51,,51
52,,52
53,,53
54,,54
55,,55
56,,56
57,,57
58,,58
59,,59
60,,60
61,,61
62,,62
63,,63
64,,64
65,,65
66,,66
67,,67
68,,68
69,,69
70,,70
71,,71
72,,72
73,,73
74,,74
75,,75
76,,76
77,,77
78,,78
79,,79
80,,80
81,,81
82,,82
83,,83
84,,84
85,,85
86,,86
87,,87
88,,88
89,,89
90,,90
91,,91
92,,92
93,,93
94,,94
95,,95
96,,96
97,,97
98,,98
99,,99
,,
HHTYPE,,Household Type
0,,N/A
,,Family Households:
1,,Married-couple family household
2,,"Male householder, no wife present"
3,,"Female householder, no husband present"
,,Nonfamily Households:
4,,"Male householder, living alone"
5,,"Male householder, not living alone"
6,,"Female householder, living alone"
7,,"Female householder, not living alone"
9,,HHTYPE could not be determined
,,
REGION,,Census region and division
,,NORTHEAST REGION
11,,New England Division
12,,Middle Atlantic Division
13,,Mixed Northeast Divisions (1970 Metro)
,,MIDWEST REGION
21,,East North Central Div.
22,,West North Central Div.
23,,Mixed Midwest Divisions (1970 Metro)
,,SOUTH REGION
31,,South Atlantic Division
32,,East South Central Div.
33,,West South Central Div.
34,,Mixed Southern Divisions (1970 Metro)
,,WEST REGION
41,,Mountain Division
42,,Pacific Division
43,,Mixed Western Divisions (1970 Metro)
,,STATE UNKNOWN
91,,Military/Military reservations
92,,PUMA boundaries cross state lines-1% sample
97,,State not identified
99,,Not identified
,,
STATEFIP,,State (FIPS code)
1,,Alabama
2,,Alaska
4,,Arizona
5,,Arkansas
6,,California
8,,Colorado
9,,Connecticut
10,,Delaware
11,,District of Columbia
12,,Florida
13,,Georgia
15,,Hawaii
16,,Idaho
17,,Illinois
18,,Indiana
19,,Iowa
20,,Kansas
21,,Kentucky
22,,Louisiana
23,,Maine
24,,Maryland
25,,Massachusetts
26,,Michigan
27,,Minnesota
28,,Mississippi
29,,Missouri
30,,Montana
31,,Nebraska
32,,Nevada
33,,New Hampshire
34,,New Jersey
35,,New Mexico
36,,New York
37,,North Carolina
38,,North Dakota
39,,Ohio
40,,Oklahoma
41,,Oregon
42,,Pennsylvania
44,,Rhode Island
45,,South Carolina
46,,South Dakota
47,,Tennessee
48,,Texas
49,,Utah
50,,Vermont
51,,Virginia
53,,Washington
54,,West Virginia
55,,Wisconsin
56,,Wyoming
,,State groups (1980 Urban/rural sample):
61,,Maine-New Hampshire-Vermont
62,,Massachusetts-Rhode Island
63,,Minnesota-Iowa-Missouri-Kansas-Nebraska-S.Dakota-N.Dakota
64,,Maryland-Delaware
65,,Montana-Idaho-Wyoming
66,,Utah-Nevada
67,,Arizona-New Mexico
68,,Alaska-Hawaii
72,,Puerto Rico
97,,Military/Mil. Reservation
99,,State not identified
,,
METRO,,Metropolitan status
0,,Metropolitan status indeterminable (mixed)
1,,Not in metropolitan area
,,In metropolitan area:
2,,In metropolitan area: In central/principal city
3,,In metropolitan area: Not in central/principal city
4,,In metropolitan area: Central/principal city status indeterminable (mixed)
,,
CITY,,City
0,,Not in identifiable city (or size group)
1,,"Aberdeen, SD"
2,,"Aberdeen, WA"
3,,"Abilene, TX"
4,,"Ada, OK"
5,,"Adams, MA"
6,,"Adrian, MI"
7,,"Abington, PA"
10,,"Akron, OH"
30,,"Alameda, CA"
50,,"Albany, NY"
51,,"Albany, GA"
52,,"Albert Lea, MN"
70,,"Albuquerque, NM"
90,,"Alexandria, VA"
91,,"Alexandria, LA"
100,,"Alhambra, CA"
110,,"Allegheny, PA"
120,,"Aliquippa, PA"
130,,"Allentown, PA"
131,,"Alliance, OH"
132,,"Alpena, MI"
140,,"Alton, IL"
150,,"Altoona, PA"
160,,"Amarillo, TX"
161,,"Ambridge, PA"
162,,"Ames, IA"
163,,"Amesbury, MA"
170,,"Amsterdam, NY"
171,,"Anaconda, MT"
190,,"Anaheim, CA"
210,,"Anchorage, AK"
230,,"Anderson, IN"
231,,"Anderson, SC"
250,,"Andover, MA"
270,,"Ann Arbor, MI"
271,,"Annapolis, MD"
272,,"Anniston, AL"
273,,"Ansonia, CT"
275,,"Antioch, CA"
280,,"Appleton, WI"
281,,"Ardmore, OK"
282,,"Argenta, AR"
283,,"Arkansas, KS"
284,,"Arden-Arcade, CA"
290,,"Arlington, TX"
310,,"Arlington, VA"
311,,"Arlington, MA"
312,,"Arnold, PA"
313,,"Asbury Park, NJ"
330,,"Asheville, NC"
331,,"Ashland, OH"
340,,"Ashland, KY"
341,,"Ashland, WI"
342,,"Ashtabula, OH"
343,,"Astoria, OR"
344,,"Atchison, KS"
345,,"Athens, GA"
346,,"Athol, MA"
347,,"Athens-Clarke County, GA"
350,,"Atlanta, GA"
370,,"Atlantic City, NJ"
371,,"Attleboro, MA"
390,,"Auburn, NY"
391,,"Auburn, ME"
410,,"Augusta, GA"
411,,"Augusta-Richmond County, GA"
430,,"Augusta, ME"
450,,"Aurora, CO"
470,,"Aurora, IL"
490,,"Austin, TX"
491,,"Austin, MN"
510,,"Bakersfield, CA"
530,,"Baltimore, MD"
550,,"Bangor, ME"
551,,"Barberton, OH"
552,,"Barre, VT"
553,,"Bartlesville, OK"
554,,"Batavia, NY"
570,,"Bath, ME"
590,,"Baton Rouge, LA"
610,,"Battle Creek, MI"
630,,"Bay City, MI"
640,,"Bayamon, PR"
650,,"Bayonne, NJ"
651,,"Beacon, NY"
652,,"Beatrice, NE"
660,,"Belleville, IL"
670,,"Beaumont, TX"
671,,"Beaver Falls, PA"
672,,"Bedford, IN"
673,,"Bellaire, OH"
680,,"Bellevue, WA"
690,,"Bellingham, WA"
695,,"Belvedere, CA"
700,,"Belleville, NJ"
701,,"Bellevue, PA"
702,,"Belmont, OH"
703,,"Belmont, MA"
704,,"Beloit, WI"
705,,"Bennington, VT"
706,,"Benton Harbor, MI"
710,,"Berkeley, CA"
711,,"Berlin, NH"
712,,"Berwick, PA"
720,,"Berwyn, IL"
721,,"Bessemer, AL"
730,,"Bethlehem, PA"
740,,"Biddeford, ME"
741,,"Big Spring, TX"
742,,"Billings, MT"
743,,"Biloxi, MS"
750,,"Binghamton, NY"
760,,"Beverly, MA"
761,,"Beverly Hills, CA"
770,,"Birmingham, AL"
771,,"Birmingham, CT"
772,,"Bismarck, ND"
780,,"Bloomfield, NJ"
790,,"Bloomington, IL"
791,,"Bloomington, IN"
792,,"Blue Island, IL"
793,,"Bluefield, WV"
794,,"Blytheville, AR"
795,,"Bogalusa, LA"
800,,"Boise, ID"
801,,"Boone, IA"
810,,"Boston, MA"
811,,"Boulder, CO"
812,,"Bowling Green, KY"
813,,"Braddock, PA"
814,,"Braden, WA"
815,,"Bradford, PA"
816,,"Brainerd, MN"
817,,"Braintree, MA"
818,,"Brawley, CA"
819,,"Bremerton, WA"
830,,"Bridgeport, CT"
831,,"Bridgeton, NJ"
832,,"Bristol, CT"
833,,"Bristol, PA"
834,,"Bristol, VA"
835,,"Bristol, TN"
837,,"Bristol, RI"
850,,"Brockton, MA"
851,,"Brookfield, IL"
870,,"Brookline, MA"
,,"Brooklyn, NY (See NYC)"
880,,"Brownsville, TX"
881,,"Brownwood, TX"
882,,"Brunswick, GA"
883,,"Bucyrus, OH"
890,,"Buffalo, NY"
900,,"Burlington, IA"
905,,"Burlington, VT"
906,,"Burlington, NJ"
907,,"Bushkill, PA"
910,,"Butte, MT"
911,,"Butler, PA"
920,,"Burbank, CA"
921,,"Burlingame, CA"
926,,"Cairo, IL"
927,,"Calumet City, IL"
930,,"Cambridge, MA"
931,,"Cambridge, OH"
950,,"Camden, NJ"
951,,"Campbell, OH"
952,,"Canonsburg, PA"
970,,"Camden, NY"
990,,"Canton, OH"
991,,"Canton, IL"
992,,"Cape Girardeau, MO"
993,,"Carbondale, PA"
994,,"Carlisle, PA"
995,,"Carnegie, PA"
996,,"Carrick, PA"
997,,"Carteret, NJ"
998,,"Carthage, MO"
999,,"Casper, WY"
1000,,"Cape Coral, FL"
1010,,"Cedar Rapids, IA"
1020,,"Central Falls, RI"
1021,,"Centralia, IL"
1023,,"Chambersburg, PA"
1024,,"Champaign, IL"
1025,,"Chanute, KS"
1026,,"Charleroi, PA"
1027,,"Chandler, AZ"
1030,,"Charlestown, MA"
1050,,"Charleston, SC"
1060,,"Carolina, PR"
1070,,"Charleston, WV"
1090,,"Charlotte, NC"
1091,,"Charlottesville, VA"
1110,,"Chattanooga, TN"
1130,,"Chelsea, MA"
1140,,"Cheltenham, PA"
1150,,"Chesapeake, VA"
1170,,"Chester, PA"
1171,,"Cheyenne, WY"
1190,,"Chicago, IL"
1191,,"Chicago Heights, IL"
1192,,"Chickasha, OK"
1210,,"Chicopee, MA"
1230,,"Chillicothe, OH"
1250,,"Chula Vista, CA"
1270,,"Cicero, IL"
1290,,"Cincinnati, OH"
1291,,"Clairton, PA"
1292,,"Claremont, NH"
1310,,"Clarksburg, WV"
1311,,"Clarksdale, MS"
1312,,"Cleburne, TX"
1330,,"Cleveland, OH"
1340,,"Cleveland Heights, OH"
1341,,"Cliffside Park, NJ"
1350,,"Clifton, NJ"
1351,,"Clinton, IN"
1370,,"Clinton, IA"
1371,,"Clinton, MA"
1372,,"Coatesville, PA"
1373,,"Coffeyville, KS"
1374,,"Cohoes, NY"
1375,,"Collingswood, NJ"
1390,,"Colorado Springs, CO"
1400,,"Cohoes, NY"
1410,,"Columbia, SC"
1411,,"Columbia, PA"
1412,,"Columbia, MO"
1420,,"Columbia City, IN"
1430,,"Columbus, GA"
1450,,"Columbus, OH"
1451,,"Columbus, MS"
1452,,"Compton, CA"
1470,,"Concord, CA"
1490,,"Concord, NH"
1491,,"Concord, NC"
1492,,"Connellsville, PA"
1493,,"Connersville, IN"
1494,,"Conshohocken, PA"
1495,,"Coraopolis, PA"
1496,,"Corning, NY"
1500,,"Corona, CA"
1510,,"Council Bluffs, IA"
1520,,"Corpus Christi, TX"
1521,,"Corsicana, TX"
1522,,"Cortland, NY"
1523,,"Coshocton, OH"
1530,,"Covington, KY"
1540,,"Costa Mesa, CA"
1545,,"Cranford, NJ"
1550,,"Cranston, RI"
1551,,"Crawfordsville, IN"
1552,,"Cripple Creek, CO"
1553,,"Cudahy, WI"
1570,,"Cumberland, MD"
1571,,"Cumberland, RI"
1572,,"Cuyahoga Falls, OH"
1590,,"Dallas, TX"
1591,,"Danbury, CT"
1592,,"Daly City, CA"
1610,,"Danvers, MA"
1630,,"Danville, IL"
1631,,"Danville, VA"
1650,,"Davenport, IA"
1670,,"Dayton, OH"
1671,,"Daytona Beach, FL"
1680,,"Dearborn, MI"
1690,,"Decatur, IL"
1691,,"Decatur, AL"
1692,,"Decatur, GA"
1693,,"Dedham, MA"
1694,,"Del Rio, TX"
1695,,"Denison, TX"
1710,,"Denver, CO"
1711,,"Derby, CT"
1713,,"Derry, PA"
1730,,"Des Moines, IA"
1750,,"Detroit, MI"
1751,,"Dickson City, PA"
1752,,"Dodge, KS"
1753,,"Donora, PA"
1754,,"Dormont, PA"
1755,,"Dothan, AL"
1770,,"Dorchester, MA"
1790,,"Dover, NH"
1791,,"Dover, NJ"
1792,,"Du Bois, PA"
1800,,"Downey, CA"
1810,,"Dubuque, IA"
1830,,"Duluth, MN"
1831,,"Dunkirk, NY"
1832,,"Dunmore, PA"
1833,,"Duquesne, PA"
1834,,"Dundalk, MD"
1850,,"Durham, NC"
1860,,
1870,,"East Chicago, IN"
1890,,"East Cleveland, OH"
1891,,"East Hartford, CT"
1892,,"East Liverpool, OH"
1893,,"East Moline, IL"
1910,,"East Los Angeles, CA"
1930,,"East Orange, NJ"
1931,,"East Providence, RI"
1940,,"East Saginaw, MI"
1950,,"East St. Louis, IL"
1951,,"East Youngstown, OH"
1952,,"Easthampton, MA"
1970,,"Easton, PA"
1971,,"Eau Claire, WI"
1972,,"Ecorse, MI"
1973,,"El Dorado, KS"
1974,,"El Dorado, AR"
1990,,"El Monte, CA"
2010,,"El Paso, TX"
2030,,"Elgin, IL"
2040,,"Elyria, OH"
2050,,"Elizabeth, NJ"
2051,,"Elizabeth City, NC"
2055,,"Elk Grove, CA"
2060,,"Elkhart, IN"
2061,,"Ellwood City, PA"
2062,,"Elmhurst, IL"
2070,,"Elmira, NY"
2071,,"Elmwood Park, IL"
2072,,"Elwood, IN"
2073,,"Emporia, KS"
2074,,"Endicott, NY"
2075,,"Enfield, CT"
2076,,"Englewood, NJ"
2080,,"Enid, OK"
2090,,"Erie, PA"
2091,,"Escanaba, MI"
2092,,"Euclid, OH"
2110,,"Escondido, CA"
2130,,"Eugene, OR"
2131,,"Eureka, CA"
2150,,"Evanston, IL"
2170,,"Evansville, IN"
2190,,"Everett, MA"
2210,,"Everett, WA"
2211,,"Fairfield, AL"
2212,,"Fairfield, CT"
2213,,"Fairhaven, MA"
2214,,"Fairmont, WV"
2220,,"Fargo, ND"
2221,,"Faribault, MN"
2222,,"Farrell, PA"
2230,,"Fall River, MA"
2240,,"Fayetteville, NC"
2241,,"Ferndale, MI"
2242,,"Findlay, OH"
2250,,"Fitchburg, MA"
2260,,"Fontana, CA"
2270,,"Flint, MI"
2271,,"Floral Park, NY"
2273,,"Florence, AL"
2274,,"Florence, SC"
2275,,"Flushing, NY"
2280,,"Fond du Lac, WI"
2281,,"Forest Park, IL"
2290,,"Fort Lauderdale, FL"
2300,,"Fort Collins, CO"
2301,,"Fort Dodge, IA"
2302,,"Fort Madison, IA"
2303,,"Fort Scott, KS"
2310,,"Fort Smith, AR"
2311,,"Fort Thomas, KY"
2330,,"Fort Wayne, IN"
2350,,"Fort Worth, TX"
2351,,"Fostoria, OH"
2352,,"Framingham, MA"
2353,,"Frankfort, IN"
2354,,"Frankfort, KY"
2355,,"Franklin, PA"
2356,,"Frederick, MD"
2357,,"Freeport, NY"
2358,,"Freeport, IL"
2359,,"Fremont, OH"
2360,,"Fremont, NE"
2370,,"Fresno, CA"
2390,,"Fullerton, CA"
2391,,"Fulton, NY"
2392,,"Gadsden, AL"
2393,,"Galena, KS"
2394,,"Gainesville, FL"
2400,,"Galesburg, IL"
2410,,"Galveston, TX"
2411,,"Gardner, MA"
2430,,"Garden Grove, CA"
2435,,"Gardena, CA"
2440,,"Garfield, NJ"
2441,,"Garfield Heights, OH"
2450,,"Garland, TX"
2470,,"Gary, IN"
2471,,"Gastonia, NC"
2472,,"Geneva, NY"
,,"Georgetown, DC (See Washington, DC)"
2473,,"Glen Cove, NY"
2489,,"Glendale, AZ"
2490,,"Glendale, CA"
2491,,"Glens Falls, NY"
2510,,"Gloucester, MA"
2511,,"Gloucester, NJ"
2512,,"Gloversville, NY"
2513,,"Goldsboro, NC"
2514,,"Goshen, IN"
2515,,"Grand Forks, ND"
2516,,"Grand Island, NE"
2517,,"Grand Junction, CO"
2520,,"Granite City, IL"
2530,,"Grand Rapids, MI"
2531,,"Grandville, MI"
2540,,"Great Falls, MT"
2541,,"Greeley, CO"
2550,,"Green Bay, WI"
2551,,"Greenfield, MA"
2570,,"Greensboro, NC"
2571,,"Greensburg, PA"
2572,,"Greenville, MS"
2573,,"Greenville, SC"
2574,,"Greenville, TX"
2575,,"Greenwich, CT"
2576,,"Greenwood, MS"
2577,,"Greenwood, SC"
2578,,"Griffin, GA"
2579,,"Grosse Pointe Park, MI"
2580,,"Guynabo, PR"
2581,,"Groton, CT"
2582,,"Gulfport, MS"
2583,,"Guthrie, OK"
2584,,"Hackensack, NJ"
2590,,"Hagerstown, MD"
2591,,"Hamden, CT"
2610,,"Hamilton, OH"
2630,,"Hammond, IN"
2650,,"Hampton, VA"
2670,,"Hamtramck Village, MI"
2680,,"Hannibal, MO"
2681,,"Hanover, PA"
2682,,"Harlingen, TX"
2683,,"Hanover township, Luzerne county, PA"
2690,,"Harrisburg, PA"
2691,,"Harrisburg, IL"
2692,,"Harrison, NJ"
2693,,"Harrison, PA"
2710,,"Hartford, CT"
2711,,"Harvey, IL"
2712,,"Hastings, NE"
2713,,"Hattiesburg, MS"
2725,,"Haverford, PA"
2730,,"Haverhill, MA"
2731,,"Hawthorne, NJ"
2740,,"Hayward, CA"
2750,,"Hazleton, PA"
2751,,"Helena, MT"
2752,,"Hempstead, NY"
2753,,"Henderson, KY"
2754,,"Herkimer, NY"
2755,,"Herrin, IL"
2756,,"Hibbing, MN"
2757,,"Henderson, NV"
2770,,"Hialeah, FL"
2780,,"High Point, NC"
2781,,"Highland Park, IL"
2790,,"Highland Park, MI"
2791,,"Hilo, HI"
2792,,"Hillside, NJ"
2810,,"Hoboken, NJ"
2811,,"Holland, MI"
2830,,"Hollywood, FL"
2850,,"Holyoke, MA"
2851,,"Homestead, PA"
2870,,"Honolulu, HI"
2871,,"Hopewell, VA"
2872,,"Hopkinsville, KY"
2873,,"Hoquiam, WA"
2874,,"Hornell, NY"
2875,,"Hot Springs, AR"
2890,,"Houston, TX"
2891,,"Hudson, NY"
2892,,"Huntington, IN"
2910,,"Huntington, WV"
2930,,"Huntington Beach, CA"
2950,,"Huntsville, AL"
2951,,"Huron, SD"
2960,,"Hutchinson, KS"
2961,,"Hyde Park, MA"
2962,,"Ilion, NY"
2963,,"Independence, KS"
2970,,"Independence, MO"
2990,,"Indianapolis, IN"
3010,,"Inglewood, CA"
3011,,"Iowa City, IA"
3012,,"Iron Mountain, MI"
3013,,"Ironton, OH"
3014,,"Ironwood, MI"
3015,,"Irondequoit, NY"
3020,,"Irvine, CA"
3030,,"Irving, TX"
3050,,"Irvington, NJ"
3051,,"Ishpeming, MI"
3052,,"Ithaca, NY"
3070,,"Jackson, MI"
3071,,"Jackson, MN"
3090,,"Jackson, MS"
3091,,"Jackson, TN"
3110,,"Jacksonville, FL"
3111,,"Jacksonville, IL"
3130,,"Jamestown, NY"
3131,,"Janesville, WI"
3132,,"Jeannette, PA"
3133,,"Jefferson City, MO"
3134,,"Jeffersonville, IN"
3150,,"Jersey City, NJ"
3151,,"Johnson City, NY"
3160,,"Johnson City, TN"
3161,,"Johnstown, NY"
3170,,"Johnstown, PA"
3190,,"Joliet, IL"
3191,,"Jonesboro, AR"
3210,,"Joplin, MO"
3230,,"Kalamazoo, MI"
3231,,"Kankakee, IL"
3250,,"Kansas City, KS"
3260,,"Kansas City, MO"
3270,,"Kearny, NJ"
3271,,"Keene, NH"
3272,,"Kenmore, NY"
3273,,"Kenmore, OH"
3290,,"Kenosha, WI"
3291,,"Keokuk, IA"
3292,,"Kewanee, IL"
3293,,"Key West, FL"
3294,,"Kingsport, TN"
3310,,"Kingston, NY"
3311,,"Kingston, PA"
3312,,"Kinston, NC"
3313,,"Klamath Falls, OR"
3330,,"Knoxville, TN"
3350,,"Kokomo, IN"
3370,,"La Crosse, WI"
3380,,"Lafayette, IN"
3390,,"Lafayette, LA"
3391,,"La Grange, IL"
3392,,"La Grange, GA"
3393,,"La Porte, IN"
3394,,"La Salle, IL"
3395,,"Lackawanna, NY"
3396,,"Laconia, NH"
3400,,"Lake Charles, LA"
3405,,"Lakeland, FL"
3410,,"Lakewood, CO"
3430,,"Lakewood, OH"
3440,,"Lancaster, CA"
3450,,"Lancaster, PA"
3451,,"Lancaster, OH"
3470,,"Lansing, MI"
3471,,"Lansingburgh, NY"
3480,,"Laredo, TX"
3481,,"Latrobe, PA"
3482,,"Laurel, MS"
3490,,"Las Vegas, NV"
3510,,"Lawrence, MA"
3511,,"Lawrence, KS"
3512,,"Lawton, OK"
3513,,"Leadville, CO"
3520,,"Leavenworth, KS"
3521,,"Lebanon, PA"
3522,,"Leominster, MA"
3530,,"Lehigh, PA"
3540,,"Lebanon, PA"
3550,,"Lewiston, ME"
3551,,"Lewistown, PA"
3560,,"Lewisville, TX"
3570,,"Lexington, KY"
3590,,"Lexington-Fayette, KY"
3610,,"Lima, OH"
3630,,"Lincoln, NE"
3631,,"Lincoln, IL"
3632,,"Lincoln Park, MI"
3633,,"Lincoln, RI"
3634,,"Linden, NJ"
3635,,"Little Falls, NY"
3638,,"Lodi, NJ"
3639,,"Logansport, IN"
3650,,"Little Rock, AR"
3670,,"Livonia, MI"
3680,,"Lockport, NY"
3690,,"Long Beach, CA"
3691,,"Long Branch, NJ"
3692,,"Long Island City, NY"
3693,,"Longview, WA"
3710,,"Lorain, OH"
3730,,"Los Angeles, CA"
3750,,"Louisville, KY"
3765,,"Lower Merion, PA"
3770,,"Lowell, MA"
3771,,"Lubbock, TX"
3772,,"Lynbrook, NY"
3790,,"Lynchburg, VA"
3800,,"Lyndhurst, NJ"
3810,,"Lynn, MA"
3830,,"Macon, GA"
3850,,"Madison, IN"
3870,,"Madison, WI"
3871,,"Mahanoy City, PA"
3890,,"Malden, MA"
3891,,"Mamaroneck, NY"
3910,,"Manchester, NH"
3911,,"Manchester, CT"
3912,,"Manhattan, KS"
3913,,"Manistee, MI"
3914,,"Manitowoc, WI"
3915,,"Mankato, MN"
3929,,"Maplewood, NJ"
3930,,"Mansfield, OH"
3931,,"Maplewood, MO"
3932,,"Marietta, OH"
3933,,"Marinette, WI"
3934,,"Marion, IN"
3940,,"Maywood, IL"
3950,,"Marion, OH"
3951,,"Marlborough, MA"
3952,,"Marquette, MI"
3953,,"Marshall, TX"
3954,,"Marshalltown, IA"
3955,,"Martins Ferry, OH"
3956,,"Martinsburg, WV"
3957,,"Mason City, IA"
3958,,"Massena, NY"
3959,,"Massillon, OH"
3960,,"McAllen, TX"
3961,,"Mattoon, IL"
3962,,"Mcalester, OK"
3963,,"Mccomb, MS"
3964,,"Mckees Rocks, PA"
3970,,"McKeesport, PA"
3971,,"Meadville, PA"
3990,,"Medford, MA"
3991,,"Medford, OR"
3992,,"Melrose, MA"
3993,,"Melrose Park, IL"
4010,,"Memphis, TN"
4011,,"Menominee, MI"
4030,,"Meriden, CT"
4040,,"Meridian, MS"
4041,,"Methuen, MA"
4050,,"Mesa, AZ"
4070,,"Mesquite, TX"
4090,,"Metairie, LA"
4110,,"Miami, FL"
4120,,"Michigan City, IN"
4121,,"Middlesboro, KY"
4122,,"Middletown, CT"
4123,,"Middletown, NY"
4124,,"Middletown, OH"
4125,,"Milford, CT"
4126,,"Milford, MA"
4127,,"Millville, NJ"
4128,,"Milton, MA"
4130,,"Milwaukee, WI"
4150,,"Minneapolis, MN"
4151,,"Minot, ND"
4160,,"Mishawaka, IN"
4161,,"Missoula, MT"
4162,,"Mitchell, SD"
4163,,"Moberly, MO"
4170,,"Mobile, AL"
4190,,"Modesto, CA"
4210,,"Moline, IL"
4211,,"Monessen, PA"
4212,,"Monroe, MI"
4213,,"Monroe, LA"
4214,,"Monrovia, CA"
4230,,"Montclair, NJ"
4250,,"Montgomery, AL"
4251,,"Morgantown, WV"
4252,,"Morristown, NJ"
4253,,"Moundsville, WV"
4254,,"Mount Arlington, NJ"
